Date,Name,Hashtag,Explanation
Feb 8,Knee High Socks Day,#ニーハイの日,ni(2)-ha(8)-i | nihai = knee high
Feb 2-4, Setsubun, #節分, [Setsubun](https://en.wikipedia.org/wiki/Setsubun) — Oni related art
Feb 22,Cat Day,#猫の日 ,ni(2)ni(2)ni(2) | kinda sounds like nya nya nya
Mar 3,Bunny Day,うさぎの日,mi(3)mi(3) | mimi = ear bunnys have long ears
Apr 29-May 6,Golden Week,,JP holiday golden bikini / golden bunny / golden whatever
May 10,Maid Day,#メイドの日,,
Jun 1,"World Milk Day",,
Jun 25,Yuri Day,#百合の日,zoiGawk
Jul 5,Bikini Day,#ビキニの日,girl idk,
Jul 9,No Bra Day,#ノーブラの日,girl idk,
Aug 1,Boobs Day,#おっぱいの日,0(o) 8 (pa) 1 (i) oopaii = boobs
Aug 2,Bunny Day,#バニーの日,ba(8)-ni(2) | bani = bunny
Aug 21,Bunny Day,#バニーの日,ba(8)-ni(2)-i(1) | bani = bunny
Aug 23,Bunny Day,#バニーさんの日,ba(8)-ni(2)-san(3) |  bani-san = bunny-san
Nov 2,Nice Oni Day,#いい鬼の日,ii(11)o(0)-ni(2) ITS REAL POST ZOI ART ON THIS DAY
Nov 2,Nice Tights Day,#タイツの日,ta(10)+i(1) tsu(2) | bit of a guess on this one: taitsu = tights 10+1 = 11 for the month of novemeber. some people still do #いいタイツの日 even if it doesnt technically make sense
Nov 3,Nice Swimsuit Day,#いい水着の日,水着 = mizugi swimsuit mitsu = 3 might sound kinda like mizu?
Nov 4,Nice Butt Day,#いいおしりの日 or #いいお尻の日,ii(11)-o(0)-shi(4)-ru | oshiru = butt
Nov 7,Nice Tummy Day,#いいおなかの日,ii(11)-o(0)-na(7)-ka | onaka = tummy
Nov 8,Nice Oppai/Boobs Day,#いいおっぱいの日,ii(11)-o(0)-pa(8)-i | oppai = boobie
Nov 9,Nice Armpit Day,#いい脇の日 or #いい腋の日,脇 is kanji for armpit it has the kanji for "9" (九) three times (is actually kanji for effort x3 but it looks like a nine) 腋 is also kanji for armpit
Nov 11,Pocky Day,#ポッキーの日,1111 | it looks like a bunch of pocky sticks,
Nov 12,Nice Hip Day,#いいヒップの日, idk
Nov 17,Nice Underwear(Innerwear) Day,#いいインナーの日,ii(11)-i(1)-na(7) | innaa = inner (inner/underwear)
Nov 20,Nice Thighs Day,#いい太ももの日,ii(11)-futa(2)-mo(0)-mo | futamomo = thighs futao kinda sounds similar i guess?
Nov 22,Nice Twintail Day,#いいツインテールの日,Just because it's 22?? (tūtū)
Nov 23,Nice Breasts Day,#いい乳房の日,乳房 => ちぶさ breast/nipple idk why it's 23 though
Nov 26,Nice Bath Day,,(26th of Every month can be Bath day)
Nov 26,Nice Bloomers Day,#いいブルマの日,idk
Nov 28,Nice Knee High Socks Day,#いいニーハイの日,ii(11)-ni(2)-ha(8)-i | nihai = knee high
Nov 29,Nice School Swimsuit Day,#いいスク水の日,スク水 = sukumizu (school swimsuit) tsukyu (29) kinda sounds like suku
Nov 29,Nice Meat Day,#いい肉の日,ii(11)-ni(2)-ku(9) | niku = meat (29th of Every month can be meat day)
Nov 30,Nice Butt Day,#いいお尻の日,ii(11)-oshiri | My best guess here is that shiri kinda sounds like "thirty"?
